model,dataset,questions_asked,responses_formatted_correctly_pct,correct_answers,accuracy,min_confidence,max_confidence,avg_confidence,std_confidence,avg_token_prob,std_token_prob,ece,overconfidence,confidence_correctness_corr,token_prob_correctness_corr,confidence_token_prob_mae,avg_gini
gemini-2.5-pro,sat_en,206,100.0,201,97.5728,0.25,1.0,0.9151,0.0946,,,89.0971,-96.6577,0.4255,,,0.6779
gemini-2.5-pro,sciq_test,1000,100.0,975,97.5,0.49,1.0,0.9543,0.0523,,,91.4898,-96.5457,0.3843,,,0.7151
gemini-2.5-pro,lsat_ar_test,230,100.0,217,94.3478,0.2,1.0,0.9667,0.082,,,,-93.5601,,,,0.6431
gemini-2.5-pro,halu_eval_qa,2000,28.6,9,0.45,,,,,,,,,,,,
gemini-2.5-pro,life_eval,808,100.0,0,0.0,,,,,,,,,,,,
gpt-4o,sat_en,206,100.0,192,93.2039,0.25,1.0,0.7813,0.1222,0.9977,0.0257,67.1019,-92.4226,0.156,0.2383,0.2164,0.5438
gpt-4o,sciq_test,1000,100.0,968,96.8,0.4,1.0,0.9194,0.0977,0.9998,0.0039,47.115,-95.8806,0.3154,0.0074,0.0804,0.6803
gpt-4o,lsat_ar_test,230,94.7826,68,29.5652,0.0,1.0,0.8175,0.1913,0.9965,0.0364,,-28.8698,,0.062,,0.5828
gpt-4o,halu_eval_qa,2000,98.95,1088,54.4,,,,,0.9336,0.1338,,,,,,
gpt-4o,life_eval,808,99.6287,0,0.0,,,,,0.9378,0.1411,,,,,,
deepseek_r1,sat_en,206,100.0,193,93.6893,0.25,1.0,0.8621,0.1067,,,79.0243,-92.8272,0.2447,,,0.6292
deepseek_r1,sciq_test,1000,89.7,976,97.6,0.475,1.0,0.9337,0.0761,,,82.4986,-96.6663,0.2631,,,0.6972
deepseek_r1,lsat_ar_test,230,28.2609,96,41.7391,0.0,1.0,0.9817,0.1147,,,,-41.4105,,,,0.7457
deepseek_r1,halu_eval_qa,2000,87.05,1414,70.7,,,,,,,,,,,,
claude-3-7-sonnet-20250219,sat_en,206,100.0,197,95.6311,0.25,1.0,0.8166,0.1454,,,,-94.8145,,,,0.5898
claude-3-7-sonnet-20250219,sciq_test,1000,99.9,972,97.2,0.4,1.0,0.9238,0.0837,,,,-96.2762,,,,0.6928
claude-3-7-sonnet-20250219,lsat_ar_test,230,99.5652,84,36.5217,0.25,1.0,0.8163,0.1408,,,,-35.8392,,,,0.6008
claude-3-7-sonnet-20250219,halu_eval_qa,2000,51.9,1114,55.7,,,,,,,,,,,,
claude-3-7-sonnet-20250219,life_eval,808,100.0,0,0.0,,,,,,,,,,,,
claude-sonnet-4-20250514,sat_en,206,92.7184,200,97.0874,0.0,1.0,0.8029,0.1482,,,,-96.2798,,,,0.5858
claude-sonnet-4-20250514,sciq_test,1000,100.0,968,96.8,0.4,1.0,0.9168,0.1027,,,51.013,-95.8832,0.3756,,,0.6838
claude-sonnet-4-20250514,lsat_ar_test,230,79.5652,72,31.3043,0.0,1.0,0.6915,0.207,,,,-30.7358,,,,0.4699
claude-sonnet-4-20250514,halu_eval_qa,2000,95.45,1375,68.75,,,,,,,,,,,,
claude-sonnet-4-20250514,life_eval,808,100.0,0,0.0,,,,,,,,,,,,
gemini-2.5-flash,sat_en,206,99.5146,200,97.0874,0.085,1.0,0.8708,0.1163,,,76.4976,-96.2166,0.3535,,,0.6363
gemini-2.5-flash,sciq_test,1000,99.7,966,96.6,0.5,1.0,0.9343,0.0718,,,66.925,-95.6657,0.338,,,0.6951
gemini-2.5-flash,lsat_ar_test,230,62.1739,164,71.3043,0.2,1.0,0.9549,0.1142,,,,-70.5416,,,,0.6885
gemini-2.5-flash,halu_eval_qa,2000,84.65,715,35.75,,,,,,,,,,,,
gemini-2.5-flash,life_eval,808,100.0,0,0.0,,,,,,,,,,,,
claude-3-haiku-20240307,sat_en,206,41.2621,73,35.4369,0.3,1.0,0.6926,0.1522,,,,-34.7443,,,,0.4938
claude-3-haiku-20240307,sciq_test,1000,99.9,939,93.9,0.0,1.0,0.8436,0.1202,,,,-93.0554,,,,0.6271
claude-3-haiku-20240307,lsat_ar_test,230,97.8261,64,27.8261,0.0,1.0,0.6766,0.262,,,,-27.1746,,,,0.472
claude-3-haiku-20240307,halu_eval_qa,2000,68.35,710,35.5,,,,,,,,,,,,
claude-3-haiku-20240307,life_eval,808,99.7525,0,0.0,,,,,,,,,,,,
deepseek_v3,sat_en,206,100.0,195,94.6602,0.25,1.0,0.7203,0.1318,1.0,0.0,,-93.9444,,,,0.4905
deepseek_v3,sciq_test,1000,100.0,970,97.0,0.4,1.0,0.8656,0.1335,1.0,0.0,58.365,-96.1344,0.2269,,,0.6362
deepseek_v3,lsat_ar_test,230,99.5652,70,30.4348,0.0,1.0,0.6271,0.2303,1.0,0.0,,-29.9076,,,,0.4243
deepseek_v3,boolq_valid,3270,100.0,2384,72.9052,,,,,,,,,,,,
deepseek_v3,halu_eval_qa,2000,60.95,504,25.2,,,,,,,,,,,,
deepseek_v3,life_eval,808,100.0,0,0.0,,,,,,,,,,,,
