Question ID,content,answer,correct_format,coerce,Reasoning,Answer,A,B,C,D,correct_answer,model,dataset
0,"{
""Reasoning"": ""The passage describes Akira visiting Chie's home to ask for Naomi's hand in marriage, which surprises Chie. She wasn't expecting this proposal, especially with his plan to take Naomi to America. The passage focuses on this unexpected request and Chie's reaction to it, not an argument, reminiscence about past choices, or criticism of another character's actions. While Chie is somewhat dismissive internally, the core narrative is about her receiving this surprising marriage proposal for her daughter."",
""Answer"": ""B"",
""A"": ""0.05"",
""B"": ""0.85"",
""C"": ""0.05"",
""D"": ""0.05""
}",B,True,True,"The passage describes Akira visiting Chie's home to ask for Naomi's hand in marriage, which surprises Chie. She wasn't expecting this proposal, especially with his plan to take Naomi to America. The passage focuses on this unexpected request and Chie's reaction to it, not an argument, reminiscence about past choices, or criticism of another character's actions. While Chie is somewhat dismissive internally, the core narrative is about her receiving this surprising marriage proposal for her daughter.",B,0.05,0.85,0.05,0.05,B,claude-3-7-sonnet-20250219,sat_en
1,"{
""Reasoning"": ""The passage narrates a specific encounter between Akira and Chie, where Akira breaks tradition to directly ask for Naomi's hand in marriage. The narrative provides detailed descriptions of the setting (winter evening, rain), characters' actions and reactions, and dialogue that reveals the significance of this meeting. The passage develops through this single meaningful encounter rather than analyzing traditions, answering questions, or recounting an amusing story."",
""Answer"": ""B"",
""A"": 0.1,
""B"": 0.8,
""C"": 0.05,
""D"": 0.05
}",B,True,True,"The passage narrates a specific encounter between Akira and Chie, where Akira breaks tradition to directly ask for Naomi's hand in marriage. The narrative provides detailed descriptions of the setting (winter evening, rain), characters' actions and reactions, and dialogue that reveals the significance of this meeting. The passage develops through this single meaningful encounter rather than analyzing traditions, answering questions, or recounting an amusing story.",B,0.1,0.8,0.05,0.05,B,claude-3-7-sonnet-20250219,sat_en
2,"{
""Reasoning"": ""Akira's primary concern is that Chie will reject his proposal because he broke tradition by approaching her directly instead of using a go-between. He specifically addresses this in lines 63-65: 'Please don't judge my candidacy by the unseemliness of this proposal. I ask directly because the use of a go-between takes much time.' He acknowledges his approach is unconventional but hopes she'll focus on his intentions rather than his method."",
""Answer"": ""A"",
""A"": 0.7,
""B"": 0.1,
""C"": 0.15,
""D"": 0.05
}",A,True,True,Akira's primary concern is that Chie will reject his proposal because he broke tradition by approaching her directly instead of using a go-between. He specifically addresses this in lines 63-65: 'Please don't judge my candidacy by the unseemliness of this proposal. I ask directly because the use of a go-between takes much time.' He acknowledges his approach is unconventional but hopes she'll focus on his intentions rather than his method.,A,0.7,0.1,0.15,0.05,A,claude-3-7-sonnet-20250219,sat_en
3,"{
""Reasoning"": ""In the passage, Akira approaches Chie formally despite breaking tradition by coming directly. He bows, calls her 'Madame,' speaks with a 'soft, refined' voice, takes 'a deferential peek at her face,' and delivers his message 'like a formal speech.' His manner shows clear respect, yet he's not utterly deferential as he boldly asks directly for Naomi's hand rather than following traditional protocols, showing some assertiveness within his respectful approach."",
""Answer"": ""D"",
""A"": 0.05,
""B"": 0.15,
""C"": 0.1,
""D"": 0.7
}",D,True,True,"In the passage, Akira approaches Chie formally despite breaking tradition by coming directly. He bows, calls her 'Madame,' speaks with a 'soft, refined' voice, takes 'a deferential peek at her face,' and delivers his message 'like a formal speech.' His manner shows clear respect, yet he's not utterly deferential as he boldly asks directly for Naomi's hand rather than following traditional protocols, showing some assertiveness within his respectful approach.",D,0.05,0.15,0.1,0.7,D,claude-3-7-sonnet-20250219,sat_en
4,"{
""Reasoning"": ""The first paragraph introduces Akira's unconventional approach to Chie, breaking tradition by coming directly rather than following the formal process of using intermediaries. It then poses questions about whether Chie would have reacted differently had he followed tradition. This paragraph primarily analyzes Chie's reaction to Akira's unorthodox approach, setting up the cultural tension that drives the narrative."",
""Answer"": ""D"",
""A"": 0.15,
""B"": 0.1,
""C"": 0.15,
""D"": 0.6
}",D,True,True,"The first paragraph introduces Akira's unconventional approach to Chie, breaking tradition by coming directly rather than following the formal process of using intermediaries. It then poses questions about whether Chie would have reacted differently had he followed tradition. This paragraph primarily analyzes Chie's reaction to Akira's unorthodox approach, setting up the cultural tension that drives the narrative.",D,0.15,0.1,0.15,0.6,D,claude-3-7-sonnet-20250219,sat_en
5,"{
""Reasoning"": ""The passage states 'the density, taken with the X-ray evidence, suggests very strongly that there are two [chains].' This directly follows the authors mentioning that it was previously assumed DNA had only one chain based on its chemical formula. The X-ray evidence and density measurements are specifically presented to support their claim that DNA actually consists of two chains, not one."",
""Answer"": ""C"",
""A"": 0.05,
""B"": 0.02,
""C"": 0.9,
""D"": 0.03
}",C,True,True,"The passage states 'the density, taken with the X-ray evidence, suggests very strongly that there are two [chains].' This directly follows the authors mentioning that it was previously assumed DNA had only one chain based on its chemical formula. The X-ray evidence and density measurements are specifically presented to support their claim that DNA actually consists of two chains, not one.",C,0.05,0.02,0.9,0.03,C,claude-3-7-sonnet-20250219,sat_en
6,"{
""Reasoning"": ""According to the passage, purines are adenine and guanine. Looking at the table for yeast, adenine is 31.3% and guanine is 18.7%. The other two bases (cytosine and thymine) are pyrimidines, not purines. The question specifically asks for the percentages of purines in yeast DNA, which are adenine and guanine."",
""Answer"": ""C"",
""A"": ""0.0"",
""B"": ""0.0"",
""C"": ""1.0"",
""D"": ""0.0""
}",C,True,True,"According to the passage, purines are adenine and guanine. Looking at the table for yeast, adenine is 31.3% and guanine is 18.7%. The other two bases (cytosine and thymine) are pyrimidines, not purines. The question specifically asks for the percentages of purines in yeast DNA, which are adenine and guanine.",C,0.0,0.0,1.0,0.0,C,claude-3-7-sonnet-20250219,sat_en
7,"{
""Reasoning"": ""The authors propose that adenine pairs with thymine, and guanine pairs with cytosine. Looking at the table, for each organism, the percentages of adenine and thymine are very close to each other, and the percentages of guanine and cytosine are also very close. For example, in E. coli: adenine (24.7%) ≈ thymine (23.6%), and guanine (26.0%) ≈ cytosine (25.7%). This pattern holds across all organisms, supporting the proposed base pairing."",
""Answer"": ""A"",
""A"": 0.95,
""B"": 0.01,
""C"": 0.03,
""D"": 0.01
}",A,True,True,"The authors propose that adenine pairs with thymine, and guanine pairs with cytosine. Looking at the table, for each organism, the percentages of adenine and thymine are very close to each other, and the percentages of guanine and cytosine are also very close. For example, in E. coli: adenine (24.7%) ≈ thymine (23.6%), and guanine (26.0%) ≈ cytosine (25.7%). This pattern holds across all organisms, supporting the proposed base pairing.",A,0.95,0.01,0.03,0.01,A,claude-3-7-sonnet-20250219,sat_en
8,"{
""Reasoning"": ""The previous question likely asked about base pairing in DNA. According to the passage, specific base pairing occurs: adenine pairs with thymine, and guanine pairs with cytosine. Looking at sea urchin DNA percentages, adenine (32.8%) is approximately equal to thymine (32.1%), and guanine (17.7%) is approximately equal to cytosine (17.3%). These pairings support the complementary nature of DNA strands described in the passage."",
""Answer"": ""A"",
""A"": ""0.7"",
""B"": ""0.1"",
""C"": ""0.1"",
""D"": ""0.1""
}",A,True,True,"The previous question likely asked about base pairing in DNA. According to the passage, specific base pairing occurs: adenine pairs with thymine, and guanine pairs with cytosine. Looking at sea urchin DNA percentages, adenine (32.8%) is approximately equal to thymine (32.1%), and guanine (17.7%) is approximately equal to cytosine (17.3%). These pairings support the complementary nature of DNA strands described in the passage.",A,0.7,0.1,0.1,0.1,A,claude-3-7-sonnet-20250219,sat_en
9,"{
""Reasoning"": ""The passage repeatedly emphasizes urgency and the need to make decisions quickly about whether women should join the 'procession of educated men' (traditional male professions). The author stresses 'we are pressed for time,' 'we have very little time,' and 'the moment is short.' The central question is whether women should join this procession, on what terms, and where it leads - presenting this as an urgent matter requiring immediate thought and decision."",
""Answer"": ""B"",
""A"": 0.05,
""B"": 0.85,
""C"": 0.07,
""D"": 0.03
}",B,True,True,"The passage repeatedly emphasizes urgency and the need to make decisions quickly about whether women should join the 'procession of educated men' (traditional male professions). The author stresses 'we are pressed for time,' 'we have very little time,' and 'the moment is short.' The central question is whether women should join this procession, on what terms, and where it leads - presenting this as an urgent matter requiring immediate thought and decision.",B,0.05,0.85,0.07,0.03,B,claude-3-7-sonnet-20250219,sat_en
