Question ID,content,answer,correct_format,coerce,Reasoning,Answer,A,B,C,D,correct_answer,model,dataset
0,"{
""Reasoning"": ""The passage describes a situation where a young man, Akira, unexpectedly visits a woman, Chie, to propose marriage to her daughter, Naomi. Chie is surprised by Akira's direct approach, which goes against traditional customs. The key event is Akira's proposal, which is the best description of what happens in the passage."",
""Answer"": ""B"",
""A"": 0.2,
""B"": 0.7,
""C"": 0.1,
""D"": 0.0
}",B,True,True,"The passage describes a situation where a young man, Akira, unexpectedly visits a woman, Chie, to propose marriage to her daughter, Naomi. Chie is surprised by Akira's direct approach, which goes against traditional customs. The key event is Akira's proposal, which is the best description of what happens in the passage.",B,0.2,0.7,0.1,0.0,B,claude-3-haiku-20240307,sat_en
1,"{
""Reasoning"": ""The passage depicts a meaningful encounter between Chie and Akira, where Akira proposes marriage to Chie's daughter Naomi. The passage explores the traditional practices and expectations around marriage proposals, as well as the characters' reactions and perspectives. This suggests that the developmental pattern of the passage is a detailed depiction of a meaningful encounter, rather than a careful analysis, a definitive response, or a cheerful recounting."",
""Answer"": ""B"",
""A"": 0.2,
""B"": 0.7,
""C"": 0.1,
""D"": 0.0
}",B,True,True,"The passage depicts a meaningful encounter between Chie and Akira, where Akira proposes marriage to Chie's daughter Naomi. The passage explores the traditional practices and expectations around marriage proposals, as well as the characters' reactions and perspectives. This suggests that the developmental pattern of the passage is a detailed depiction of a meaningful encounter, rather than a careful analysis, a definitive response, or a cheerful recounting.",B,0.2,0.7,0.1,0.0,B,claude-3-haiku-20240307,sat_en
2,"{
""Reasoning"": ""Based on the passage, Akira seems to fear that Chie will mistake his earnestness and sincerity for immaturity. The passage states that Chie views Akira ""as a child"" and his message as something a child would speak about, indicating that she may not take his proposal seriously. This suggests that Akira's biggest concern is that Chie will underestimate the sincerity of his emotions and ambitions."",
""Answer"": ""B"",
""A"": 0.2,
""B"": 0.6,
""C"": 0.1,
""D"": 0.1
}",B,True,True,,,,,,,A,claude-3-haiku-20240307,sat_en
3,"{
""Reasoning"": ""Based on the passage, Akira addresses Chie with respect but not utter deference. He comes to her directly to propose to her daughter, which is considered unconventional, but he does so in a polite and deferential manner. He acknowledges the impropriety of his approach and apologizes for startling her. His voice is described as 'soft, refined' and he steals 'a deferential peek at her face', indicating he treats her with respect. However, he is not overly deferential, as he is confident in his proposal and makes it clear that he will reapproach her if she does not respond. Therefore, the best answer is D."",
""Answer"": ""D"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.3,
""D"": 0.4
}",D,True,True,"Based on the passage, Akira addresses Chie with respect but not utter deference. He comes to her directly to propose to her daughter, which is considered unconventional, but he does so in a polite and deferential manner. He acknowledges the impropriety of his approach and apologizes for startling her. His voice is described as 'soft, refined' and he steals 'a deferential peek at her face', indicating he treats her with respect. However, he is not overly deferential, as he is confident in his proposal and makes it clear that he will reapproach her if she does not respond. Therefore, the best answer is D.",D,0.1,0.2,0.3,0.4,D,claude-3-haiku-20240307,sat_en
4,"{
""Reasoning"": The first paragraph introduces the main character, Akira, and his unconventional approach to proposing marriage to Naomi, which goes against traditional customs. The paragraph raises questions about whether Akira's direct approach will be well-received by Chie, Naomi's mother. The main purpose is to set up the conflict and question whether Akira's actions will be successful, rather than to simply describe a culture, criticize a tradition, or analyze a reaction.
"",
""Answer"": ""C"",
""A"": 0.2,
""B"": 0.2,
""C"": 0.5,
""D"": 0.1
}",,False,False,,,,,,,D,claude-3-haiku-20240307,sat_en
5,"{
""Reasoning"": ""The passage states that the X-ray evidence and density data strongly suggest that the DNA molecule consists of two chains, rather than just one as might have been assumed based on the chemical formula alone. This information is provided to support the authors' claim about the structure of the DNA molecule, specifically the number of chains it contains. Therefore, the best answer is option C."",
""Answer"": ""C"",
""A"": 0.2,
""B"": 0.1,
""C"": 0.6,
""D"": 0.1
}",C,True,True,"The passage states that the X-ray evidence and density data strongly suggest that the DNA molecule consists of two chains, rather than just one as might have been assumed based on the chemical formula alone. This information is provided to support the authors' claim about the structure of the DNA molecule, specifically the number of chains it contains. Therefore, the best answer is option C.",C,0.2,0.1,0.6,0.1,C,claude-3-haiku-20240307,sat_en
6,"{
""Reasoning"": ""The passage states that the two purines in DNA are adenine and guanine. The table shows the base composition of DNA for various organisms, including yeast. For yeast, the percentages of adenine and guanine are given as 31.3% and 18.7% respectively. Therefore, the correct percentages of the purines in yeast DNA are 31.3% for adenine and 18.7% for guanine."",
""Answer"": ""C"",
""A"": 0.0,
""B"": 0.0,
""C"": 1.0,
""D"": 0.0
}",C,True,True,"The passage states that the two purines in DNA are adenine and guanine. The table shows the base composition of DNA for various organisms, including yeast. For yeast, the percentages of adenine and guanine are given as 31.3% and 18.7% respectively. Therefore, the correct percentages of the purines in yeast DNA are 31.3% for adenine and 18.7% for guanine.",C,0.0,0.0,1.0,0.0,C,claude-3-haiku-20240307,sat_en
7,"{
""Reasoning"": ""The passage states that the only possible base pairs in DNA are adenine-thymine and guanine-cytosine. The data in the table show that for each organism, the percentage of adenine is closest to the percentage of thymine, and the percentage of guanine is closest to the percentage of cytosine. This supports the authors' proposed pairing of bases in DNA."",
""Answer"": ""A"",
""A"": 0.9,
""B"": 0.1,
""C"": 0.0,
""D"": 0.0
}",A,True,True,"The passage states that the only possible base pairs in DNA are adenine-thymine and guanine-cytosine. The data in the table show that for each organism, the percentage of adenine is closest to the percentage of thymine, and the percentage of guanine is closest to the percentage of cytosine. This supports the authors' proposed pairing of bases in DNA.",A,0.9,0.1,0.0,0.0,A,claude-3-haiku-20240307,sat_en
8,"{
""Reasoning"": ""The previous question mentioned that the bases in DNA are paired in a specific way - adenine with thymine, and guanine with cytosine. The table shows the base composition of DNA for various organisms, including sea urchin. The correct answer should be the pair of base percentages that provides evidence for this specific pairing."",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.6,
""D"": 0.1
}",C,True,True,"The previous question mentioned that the bases in DNA are paired in a specific way - adenine with thymine, and guanine with cytosine. The table shows the base composition of DNA for various organisms, including sea urchin. The correct answer should be the pair of base percentages that provides evidence for this specific pairing.",C,0.1,0.2,0.6,0.1,A,claude-3-haiku-20240307,sat_en
9,"{
""Reasoning"": The passage is focused on the author's urgent call for the daughters of educated men to critically examine the procession of educated men and the civilization they have created. The author emphasizes the need to think deeply about the direction this procession is leading society, rather than simply joining it. The main purpose is to stress the urgency of this issue and encourage active, thoughtful participation rather than passive acceptance.
""Answer"": B,
""A"": 0.2,
""B"": 0.7,
""C"": 0.1,
""D"": 0.0
}",,False,False,,,,,,,B,claude-3-haiku-20240307,sat_en
10,"{
""Reasoning"": The passage discusses the changing role of educated women in English society, and the central claim is that educated women now face a decision about how to engage with existing institutions and the ""procession of the sons of educated men."" The passage does not make claims about a male monopoly on power or the transformative effects of women entering traditionally male positions. The focus is on the choices and considerations facing educated women themselves.
"",
""Answer"": ""A"",
""A"": 0.8,
""B"": 0.1,
""C"": 0.05,
""D"": 0.05
}",,False,False,,,,,,,A,claude-3-haiku-20240307,sat_en
11,"{
""Reasoning"": The passage indicates that Woolf chooses the setting of the bridge because it provides a vantage point to observe the ""procession of the sons of educated men"" that she wants to analyze. The bridge allows her to survey the city, see the barges on the river, and observe the educated men going about their professional activities. This suggests that the bridge is chosen primarily for its ability to offer a good view of the procession, rather than for its symbolic or reflective qualities.
"",
""Answer"": ""B"",
""A"": 0.2,
""B"": 0.7,
""C"": 0.1,
""D"": 0.0
}",,False,False,,,,,,,B,claude-3-haiku-20240307,sat_en
12,"{
""Reasoning"": ""The passage indicates that the procession of educated men that Woolf describes has become more accessible and influential in recent years, as the 'daughters of educated men' have joined the procession and begun to think and participate in the professions and public life. The passage suggests this is a significant change from the past, when the procession was more exclusive and passive observation was the norm. Therefore, option A best captures the key point made in the passage."",
""Answer"": ""A"",
""A"": 0.8,
""B"": 0.1,
""C"": 0.05,
""D"": 0.05
}",A,True,True,"The passage indicates that the procession of educated men that Woolf describes has become more accessible and influential in recent years, as the 'daughters of educated men' have joined the procession and begun to think and participate in the professions and public life. The passage suggests this is a significant change from the past, when the procession was more exclusive and passive observation was the norm. Therefore, option A best captures the key point made in the passage.",A,0.8,0.1,0.05,0.05,D,claude-3-haiku-20240307,sat_en
13,"{
""Reasoning"": The passage indicates that space mining could yield materials like precious metals and rare earth elements that are important for Earth's economy and personal electronics. This is the primary positive effect mentioned by the author in Passage 1. The other options are not as strongly supported by the passage.
"",
""Answer"": ""A"",
""A"": 0.8,
""B"": 0.1,
""C"": 0.05,
""D"": 0.05
}",,False,False,,,,,,,A,claude-3-haiku-20240307,sat_en
14,"{
""Reasoning"": The central claim of Passage 2 is that space mining has positive potential, but its effects should be thoughtfully considered before it becomes a reality. The passage acknowledges the potential benefits of space mining, such as the mineral bounty and spin-off technologies, but also raises concerns about the environmental and regulatory implications. It suggests that while space mining may sidestep some environmental concerns, its consequences both on Earth and in space merit careful consideration. The passage argues that a broad agreement on the for-profit exploitation of space is needed to ensure the gains are secure, rather than avoiding regulation altogether. This suggests the central claim is that the positive potential of space mining should be balanced with a thoughtful consideration of its effects.
"",
""Answer"": ""B"",
""A"": 0.2,
""B"": 0.7,
""C"": 0.1,
""D"": 0.0
}",,False,False,,,,,,,B,claude-3-haiku-20240307,sat_en
15,"{
""Reasoning"": ""The two passages discuss the emerging space mining industry, with Passage 1 presenting it in a more positive light as a potential solution to earthly demands, while Passage 2 expresses reservations about the environmental and ethical implications of space mining. Passage 2 does not directly refute the claims in Passage 1, but rather highlights the need for careful consideration of the consequences of space mining, both on Earth and in space. Therefore, the best answer is that Passage 2 expresses reservations about developments discussed in Passage 1."",
""Answer"": ""D"",
""A"": 0.2,
""B"": 0.3,
""C"": 0.2,
""D"": 0.3
}",D,True,True,"The two passages discuss the emerging space mining industry, with Passage 1 presenting it in a more positive light as a potential solution to earthly demands, while Passage 2 expresses reservations about the environmental and ethical implications of space mining. Passage 2 does not directly refute the claims in Passage 1, but rather highlights the need for careful consideration of the consequences of space mining, both on Earth and in space. Therefore, the best answer is that Passage 2 expresses reservations about developments discussed in Passage 1.",D,0.2,0.3,0.2,0.3,D,claude-3-haiku-20240307,sat_en
16,"{
""Reasoning"": ""The passage suggests that the resources valuable in space may be different from those valuable on Earth. Passage 1 mentions that water ice could become the most desired commodity in space, as it can be used for drinking, radiation shielding, and rocket fuel. Passage 2 explicitly states that 'the resources that are valuable in orbit and beyond may be very different to those we prize on Earth'. This indicates that the most valuable resources in space are likely to differ from the precious metals and rare earth elements that are currently valuable on Earth."",
""Answer"": ""A"",
""A"": 0.8,
""B"": 0.1,
""C"": 0.1,
""D"": 0.0
}",A,True,True,"The passage suggests that the resources valuable in space may be different from those valuable on Earth. Passage 1 mentions that water ice could become the most desired commodity in space, as it can be used for drinking, radiation shielding, and rocket fuel. Passage 2 explicitly states that 'the resources that are valuable in orbit and beyond may be very different to those we prize on Earth'. This indicates that the most valuable resources in space are likely to differ from the precious metals and rare earth elements that are currently valuable on Earth.",A,0.8,0.1,0.1,0.0,A,claude-3-haiku-20240307,sat_en
17,"{
""Reasoning"": The narrator of the passage is an anonymous member of the community who is describing the arrival and introduction of the new schoolteacher, Miss Grace Spivey, to the town of Threestep, Georgia. The narrator is not one of Miss Spivey's former students, as the passage describes the students' reactions to Miss Spivey's first day. The narrator is also not Miss Spivey's predecessor, Miss Chandler, as the passage distinguishes between the two teachers. Finally, the narrator is not Miss Spivey herself, as the passage is written in the third person. Therefore, the best answer is that the narrator is an anonymous member of the community.
"",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.1,
""C"": 0.7,
""D"": 0.1
}",,False,False,,,,,,,A,claude-3-haiku-20240307,sat_en
18,"{
""Reasoning"": The passage clearly describes Threestep, Georgia as a small rural town, not a summer retreat, university town, or suburb. The details about the arrival of the new schoolteacher, the residents sweating in the August heat, and the one-room schoolhouse suggest a small, remote rural community, rather than any of the other options provided.
""Answer"": B,
""A"": 0.0,
""B"": 0.9,
""C"": 0.1,
""D"": 0.0
}",,False,False,,,,,,,B,claude-3-haiku-20240307,sat_en
19,"{
""Reasoning"": The passage suggests that the people at the train station were irritated by Miss Spivey's comment about the Georgia heat being ""nothing"" compared to Timbuktu. This implies that they felt she was minimizing their discomfort and not appreciating the intensity of the local weather, which is the most likely reason for their reaction. The passage does not indicate that they felt sympathy, disappointment, or embarrassment.
""Answer"": D,
""A"": 0.1,
""B"": 0.2,
""C"": 0.2,
""D"": 0.5
}",,False,False,,,,,,,D,claude-3-haiku-20240307,sat_en
20,"{
""Reasoning"": The interaction between Miss Spivey and Ralphord suggests that Miss Spivey has an exaggerated view of what information should be considered common knowledge. When Ralphord asks what ""Barnyard College"" is, Miss Spivey responds by explaining that it is the sister school of Columbia University, implying that this is information she expects the children to already know. This interaction highlights Miss Spivey's tendency to assume a level of worldliness and education that the children may not possess, which is the main purpose of this exchange.
""Answer"": A,
""A"": 0.8,
""B"": 0.1,
""C"": 0.1,
""D"": 0.0
}",,False,False,,,,,,,A,claude-3-haiku-20240307,sat_en
21,"{
""Reasoning"": The passage clearly states that after attending Barnard College and being inspired by a lecture from John Dewey, Miss Spivey ""had marched to the Teacher's College and signed up, all aflame. Two years later, she told a cheery blue-suited woman from the WPA that she wanted to bring democracy and education to the poorest, darkest, most remote and forgotten corner of America. They sent her to Threestep, Georgia."" This indicates that it was her conversation with the WPA representative that directly led to her being sent to Threestep, not any of the other options provided.
"",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.6,
""D"": 0.1
}",,False,False,,,,,,,C,claude-3-haiku-20240307,sat_en
22,"{
""Reasoning"": The passage indicates that when Miss Spivey announced that she had seen camels during her travels, the students' reaction suggests that they were baffled rather than delighted, fascinated, or worried. The passage states that ""We all hung there for a minute, thinking hard, until Mavis Davis spoke up."" This implies that the students were confused and unsure of how to react to Miss Spivey's statement about seeing camels, rather than showing any of the other emotional responses.
"",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.6,
""D"": 0.1
}",,False,False,,,,,,,C,claude-3-haiku-20240307,sat_en
23,"{
""Reasoning"": The passage states that in the early 1990s, textbooks asserted that nerve fibers only responded to pain and temperature stimuli, and that sensations of pressure and vibration were believed to travel only along fast-signaling nerve fibers. Therefore, the textbook authors would have expected that blocking the fast fibers would eliminate the sensation of pressure altogether, which is option D.
"",
""Answer"": ""D"",
""A"": 0.0,
""B"": 0.1,
""C"": 0.2,
""D"": 0.7
}",,False,False,,,,,,,D,claude-3-haiku-20240307,sat_en
24,"{
""Reasoning"": The passage clearly states that Olausson's 1993 experiment showed that gentle stroking of the skin prompted two different nerve signals - one immediate and one delayed. The delayed signal was identified as coming from slow, unmyelinated fibers, confirming the presence of these fibers in human hairy skin. This directly supports the conclusion that gentle pressure is sensed not only by fast fibers but also by slow fibers.
"",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.6,
""D"": 0.1
}",,False,False,,,,,,,C,claude-3-haiku-20240307,sat_en
