Question ID,content,answer,correct_format,coerce,Reasoning,Answer,A,B,C,D,correct_answer,model,dataset
0,"{
""Reasoning"": ""The central event of the passage is Akira's unexpected visit to Chie to ask for her daughter Naomi's hand in marriage. The text explicitly states Chie's surprise: \""Chie had no idea\"" and Akira's own acknowledgment, \""I see I've startled you.\"" This surprising request drives the entire narrative of the passage. Option A is incorrect as there is no argument. Option C is wrong because Chie does not reminisce. Option D describes Chie's reaction, but the core event is the request itself, making B the most accurate summary."",
""Answer"": ""B"",
""A"": 0.02,
""B"": 0.9,
""C"": 0.03,
""D"": 0.05
}",B,True,True,"The central event of the passage is Akira's unexpected visit to Chie to ask for her daughter Naomi's hand in marriage. The text explicitly states Chie's surprise: ""Chie had no idea"" and Akira's own acknowledgment, ""I see I've startled you."" This surprising request drives the entire narrative of the passage. Option A is incorrect as there is no argument. Option C is wrong because Chie does not reminisce. Option D describes Chie's reaction, but the core event is the request itself, making B the most accurate summary.",B,0.02,0.9,0.03,0.05,B,gemini-2.5-pro,sat_en
1,"{
""Reasoning"": ""The passage meticulously chronicles a single, pivotal event: Akira's unexpected visit to Chie to ask for Naomi's hand in marriage. It provides rich detail about the setting, the characters' appearances, their dialogue, and their internal reactions. This encounter is clearly meaningful as it introduces the story's central conflict and sets the stage for future events, culminating in Naomi's firm declaration. The other options are less accurate; the passage doesn't analyze a tradition (A), provide a definitive response (C), or recount a cheerful anecdote (D)."",
""Answer"": ""B"",
""A"": 0.05,
""B"": 0.9,
""C"": 0.03,
""D"": 0.02
}",B,True,True,"The passage meticulously chronicles a single, pivotal event: Akira's unexpected visit to Chie to ask for Naomi's hand in marriage. It provides rich detail about the setting, the characters' appearances, their dialogue, and their internal reactions. This encounter is clearly meaningful as it introduces the story's central conflict and sets the stage for future events, culminating in Naomi's firm declaration. The other options are less accurate; the passage doesn't analyze a tradition (A), provide a definitive response (C), or recount a cheerful anecdote (D).",B,0.05,0.9,0.03,0.02,B,gemini-2.5-pro,sat_en
2,"{
""Reasoning"": ""The passage highlights Akira's awareness that he is breaking tradition. He explicitly states, \""Please don't judge my candidacy by the unseemliness of this proposal\"" (lines 63-64). He acknowledges that he would normally use a go-between but is acting directly due to urgency. This demonstrates his primary fear is that the unconventional and improper nature of his approach will cause Chie to reject him. While he apologizes for the disruption (C), his main concern is the overall inappropriateness of his actions, which is a broader and more accurate description of his fear."",
""Answer"": ""A"",
""A"": 0.85,
""B"": 0.0,
""C"": 0.15,
""D"": 0.0
}",A,True,True,"The passage highlights Akira's awareness that he is breaking tradition. He explicitly states, ""Please don't judge my candidacy by the unseemliness of this proposal"" (lines 63-64). He acknowledges that he would normally use a go-between but is acting directly due to urgency. This demonstrates his primary fear is that the unconventional and improper nature of his approach will cause Chie to reject him. While he apologizes for the disruption (C), his main concern is the overall inappropriateness of his actions, which is a broader and more accurate description of his fear.",A,0.85,0.0,0.15,0.0,A,gemini-2.5-pro,sat_en
3,"{
""Reasoning"": ""Akira consistently shows respect for Chie through his bowing, polite language (\""Madame,\"" \""forgive my disruption\""), and deferential manner. However, he deliberately breaks with tradition by approaching her directly instead of using a go-between, which he acknowledges is not the \""proper\"" way. This directness, driven by urgency, demonstrates that while he is respectful, his deference is not absolute or \""utter.\"" This combination of politeness and assertiveness makes option D the best description of his address to Chie."",
""Answer"": ""D"",
""A"": 0.02,
""B"": 0.02,
""C"": 0.02,
""D"": 0.94
}",D,True,True,"Akira consistently shows respect for Chie through his bowing, polite language (""Madame,"" ""forgive my disruption""), and deferential manner. However, he deliberately breaks with tradition by approaching her directly instead of using a go-between, which he acknowledges is not the ""proper"" way. This directness, driven by urgency, demonstrates that while he is respectful, his deference is not absolute or ""utter."" This combination of politeness and assertiveness makes option D the best description of his address to Chie.",D,0.02,0.02,0.02,0.94,D,gemini-2.5-pro,sat_en
4,"{
""Reasoning"": ""The first paragraph poses a rhetorical question about Chie's receptiveness. It speculates whether her reaction would have been different if Akira had followed tradition. The sentences \""Was that it?\"" and \""would Chie have been more receptive?\"" are clear indicators of an analysis of a reaction. While it mentions a cultural practice (A), the primary goal is to understand Chie's state of mind, not simply to describe the culture itself. It questions the outcome, not the tradition's value (B) or a specific suggestion (C)."",
""Answer"": ""D"",
""A"": 0.10,
""B"": 0.05,
""C"": 0.0,
""D"": 0.85
}",D,True,True,"The first paragraph poses a rhetorical question about Chie's receptiveness. It speculates whether her reaction would have been different if Akira had followed tradition. The sentences ""Was that it?"" and ""would Chie have been more receptive?"" are clear indicators of an analysis of a reaction. While it mentions a cultural practice (A), the primary goal is to understand Chie's state of mind, not simply to describe the culture itself. It questions the outcome, not the tradition's value (B) or a specific suggestion (C).",D,0.1,0.05,0.0,0.85,D,gemini-2.5-pro,sat_en
5,"{
""Reasoning"": ""The passage explicitly states that while one might assume a single chain from the chemical formula, \""the density, taken with the X-ray evidence, suggests very strongly that there are two\"" chains. This evidence is presented immediately after the authors introduce their two-chain model. Therefore, the direct and stated purpose of mentioning the X-ray and density evidence is to provide crucial support for their claim that the DNA molecule is composed of two chains, not one."",
""Answer"": ""C"",
""A"": 0.02,
""B"": 0.01,
""C"": 0.95,
""D"": 0.02
}",C,True,True,"The passage explicitly states that while one might assume a single chain from the chemical formula, ""the density, taken with the X-ray evidence, suggests very strongly that there are two"" chains. This evidence is presented immediately after the authors introduce their two-chain model. Therefore, the direct and stated purpose of mentioning the X-ray and density evidence is to provide crucial support for their claim that the DNA molecule is composed of two chains, not one.",C,0.02,0.01,0.95,0.02,C,gemini-2.5-pro,sat_en
6,"{
""Reasoning"": ""The passage explicitly states that adenine and guanine are purines. The question asks for the percentages of purines in yeast DNA. By locating the \""Yeast\"" row in the provided table, we can find the corresponding percentages for adenine and guanine. The table shows that for yeast, the percentage of adenine is 31.3% and the percentage of guanine is 18.7%. Therefore, option C, which lists these two percentages, is the correct answer."",
""Answer"": ""C"",
""A"": 0.01,
""B"": 0.01,
""C"": 0.97,
""D"": 0.01
}",C,True,True,"The passage explicitly states that adenine and guanine are purines. The question asks for the percentages of purines in yeast DNA. By locating the ""Yeast"" row in the provided table, we can find the corresponding percentages for adenine and guanine. The table shows that for yeast, the percentage of adenine is 31.3% and the percentage of guanine is 18.7%. Therefore, option C, which lists these two percentages, is the correct answer.",C,0.01,0.01,0.97,0.01,C,gemini-2.5-pro,sat_en
7,"{
""Reasoning"": ""The passage states that the only possible base pairs are adenine with thymine and guanine with cytosine. This implies that in any organism's DNA, the percentage of adenine should be approximately equal to the percentage of thymine, and the percentage of guanine should be approximately equal to that of cytosine. The data in the table confirms this for every organism listed. Therefore, the data strongly support the authors' proposed pairing, making 'Yes' the correct start to the answer and eliminating options C and D."",
""Answer"": ""A"",
""A"": 0.98,
""B"": 0.01,
""C"": 0.005,
""D"": 0.005
}",A,True,True,"The passage states that the only possible base pairs are adenine with thymine and guanine with cytosine. This implies that in any organism's DNA, the percentage of adenine should be approximately equal to the percentage of thymine, and the percentage of guanine should be approximately equal to that of cytosine. The data in the table confirms this for every organism listed. Therefore, the data strongly support the authors' proposed pairing, making 'Yes' the correct start to the answer and eliminating options C and D.",A,0.98,0.01,0.005,0.005,A,gemini-2.5-pro,sat_en
8,"{
""Reasoning"": ""The passage establishes the base-pairing rule: guanine (G) pairs with cytosine (C), and adenine (A) pairs with thymine (T). This implies their percentages in DNA should be nearly equal. The question asks for evidence of this from the sea urchin data. In the table, the percentage of guanine in sea urchin DNA is 17.7% and cytosine is 17.3%. These values are nearly identical, providing strong evidence for the G-C pairing rule described in the text. Option A correctly identifies this pair of percentages."",
""Answer"": ""A"",
""A"": 0.97,
""B"": 0.01,
""C"": 0.01,
""D"": 0.01
}",A,True,True,"The passage establishes the base-pairing rule: guanine (G) pairs with cytosine (C), and adenine (A) pairs with thymine (T). This implies their percentages in DNA should be nearly equal. The question asks for evidence of this from the sea urchin data. In the table, the percentage of guanine in sea urchin DNA is 17.7% and cytosine is 17.3%. These values are nearly identical, providing strong evidence for the G-C pairing rule described in the text. Option A correctly identifies this pair of percentages.",A,0.97,0.01,0.01,0.01,A,gemini-2.5-pro,sat_en
9,"{
""Reasoning"": ""The passage repeatedly emphasizes the need for immediate consideration of a critical issue. Phrases like \""pressed for time,\"" \""here and now,\"" and \""The moment is short\"" underscore the urgency. The central question is not about valuing tradition (A) or questioning feasibility (D), but about deciding whether and how women should join the professional world. While social divisions (C) are the context, the main purpose is to stress the urgent need for women to consciously address this pivotal moment of change. The author's primary goal is to galvanize her audience into immediate thought and action."",
""Answer"": ""B"",
""A"": 0.02,
""B"": 0.92,
""C"": 0.05,
""D"": 0.01
}",B,True,True,"The passage repeatedly emphasizes the need for immediate consideration of a critical issue. Phrases like ""pressed for time,"" ""here and now,"" and ""The moment is short"" underscore the urgency. The central question is not about valuing tradition (A) or questioning feasibility (D), but about deciding whether and how women should join the professional world. While social divisions (C) are the context, the main purpose is to stress the urgent need for women to consciously address this pivotal moment of change. The author's primary goal is to galvanize her audience into immediate thought and action.",B,0.02,0.92,0.05,0.01,B,gemini-2.5-pro,sat_en
